ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10229,1,1,1990,0,0,0,8,0,0,0,0,0,0
10229,2,1,1990,4,4,4,4,4,4,4,4,4,4
10229,3,1,1990,0,0,0,0,0,0,0,0,0,0
10230,1,1,1990,18,18,18,18,18,18,18,18,18,18
10230,2,1,1990,0,0,0,0,0,0,0,0,0,0
10231,1,1,1990,0,0,0,0,0,0,0,0,0,0
10231,2,1,1990,0,0,0,0,0,0,0,0,0,0
10232,1,1,1990,0,0,16,0,0,13,0,0,0,6
10232,2,1,1990,8,0,0,7,0,0,20,0,0,20
10233,0,1,1990,0,0,12,0,0,0,0,0,0,0
10233,1,1,1990,0,0,0,0,0,0,0,0,0,0
10234,1,1,1990,0,0,0,0,0,0,0,0,0,0
10234,2,1,1990,0,0,0,0,0,0,0,0,0,0
10235,1,1,1990,7,24,12,0,0,26,14,14,9,27
10235,2,1,1990,0,0,0,0,0,0,0,0,0,0
10235,3,1,1990,0,0,0,0,0,0,0,0,0,0
10236,1,1,1990,14,14,14,14,14,14,14,14,14,14
10237,1,1,1990,8,8,8,8,8,8,8,8,8,8
10237,2,1,1990,0,0,0,0,0,0,0,0,11,0
10237,3,1,1990,0,0,0,0,0,0,0,0,0,0
10238,1,1,1990,0,0,0,0,0,0,0,0,0,0
10238,2,1,1990,0,0,0,0,0,0,0,0,0,0
10239,1,1,1990,13,0,18,12,20,0,11,0,19,0
10239,2,1,1990,0,0,0,0,0,0,0,0,10,0
10240,0,1,1990,0,0,22,0,25,0,0,34,9,0
10240,1,1,1990,0,0,0,0,0,0,0,0,0,0
10241,1,1,1990,16,16,16,16,16,16,16,16,16,16
10242,1,1,1990,0,0,0,14,0,0,0,0,0,0
10242,2,1,1990,0,0,0,0,0,0,0,0,0,0
10243,1,1,1990,14,0,0,0,0,0,12,0,0,19
10244,1,1,1990,0,0,0,0,0,0,0,0,0,0
10245,0,1,1990,0,0,0,0,0,0,0,0,0,0
10245,1,1,1990,0,0,0,0,0,0,0,9,0,0
10246,1,1,1990,0,0,0,0,0,0,0,0,0,0
10246,2,1,1990,0,0,18,0,0,0,0,13,0,0
10246,3,1,1990,0,0,0,0,0,0,0,0,0,0
10246,4,1,1990,0,0,0,0,0,0,0,0,0,0
10247,1,1,1990,0,0,0,0,0,14,0,0,17,0
10247,2,1,1990,0,0,0,0,0,0,0,0,0,24
10248,1,1,1990,14,14,14,14,14,14,14,14,14,14
10248,2,1,1990,0,0,0,0,0,0,0,0,0,0
10249,1,1,1990,0,0,0,0,0,0,0,0,25,0
10250,1,1,1990,13,13,13,13,13,13,13,13,13,13
10251,1,1,1990,0,0,0,0,0,0,13,0,0,0
10251,2,1,1990,0,0,0,0,0,0,0,0,0,0
10252,1,1,1990,28,0,26,32,27,0,4,26,17,0
10253,1,1,1990,22,22,22,22,22,22,22,22,22,22
10254,1,1,1990,0,0,0,0,0,0,0,0,0,0
10254,2,1,1990,0,0,0,0,0,0,0,0,0,0
10255,1,1,1990,0,55,0,4,3,9,11,25,2,14
10256,1,1,1990,0,9,14,12,18,25,24,10,0,0
10256,2,1,1990,0,0,0,0,0,0,0,0,0,35
10256,3,1,1990,0,5,0,0,0,0,0,17,9,0
10257,0,1,1990,0,34,0,0,0,0,0,0,33,0
10257,1,1,1990,0,0,0,0,0,0,0,0,0,0
10258,1,1,1990,0,0,0,0,0,0,0,0,0,0
10258,2,1,1990,24,24,24,24,24,24,24,24,24,24
10259,1,1,1990,19,19,19,19,19,19,19,19,19,19
10260,1,1,1990,0,0,0,0,0,0,0,0,0,0
10260,2,1,1990,0,0,0,0,0,0,0,0,0,0
10261,1,1,1990,0,0,0,0,0,0,0,0,0,0
10261,2,1,1990,0,0,0,20,0,0,0,0,37,0
10261,3,1,1990,20,20,20,20,20,20,20,20,20,20
10262,1,1,1990,24,24,24,24,24,24,24,24,24,24
10263,1,1,1990,16,16,16,16,16,16,16,16,16,16
10264,1,1,1990,17,17,17,17,17,17,17,17,17,17
10265,1,1,1990,0,0,0,0,0,0,0,0,0,0
